"LOCATION","Country","ENV_INDICATORS","Indicator","TIME","Time","Value","Flag Codes","Flags"
"CAN","Canada","WATE39","Irrigation water application rates (Megaliters per hectare of irrigated land)","2003","2003",,"M","Missing value; data cannot exist"
"CAN","Canada","WATE39","Irrigation water application rates (Megaliters per hectare of irrigated land)","2004","2004",,"M","Missing value; data cannot exist"
"CAN","Canada","WATE39","Irrigation water application rates (Megaliters per hectare of irrigated land)","2005","2005",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1990","1990",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1991","1991",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1992","1992",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1993","1993",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1994","1994",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1995","1995",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1996","1996",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1997","1997",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1998","1998",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1999","1999",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2000","2000",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2001","2001",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2002","2002",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2003","2003",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2004","2004",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE5","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2005","2005",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1990","1990",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1991","1991",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1992","1992",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1993","1993",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1994","1994",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1995","1995",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1996","1996",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1997","1997",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1998","1998",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","1999","1999",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","2000","2000",40,,
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","2001","2001",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","2002","2002",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","2003","2003",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","2004","2004",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE6","Share of agriculture in total emissions of nitrogen (%)","2005","2005",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1990","1990",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1991","1991",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1992","1992",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1993","1993",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1994","1994",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1995","1995",7,,
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1996","1996",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1997","1997",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1998","1998",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1999","1999",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2000","2000",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2001","2001",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2002","2002",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2003","2003",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2004","2004",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE8","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2005","2005",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1990","1990",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1991","1991",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1992","1992",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1993","1993",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1994","1994",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1995","1995",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1996","1996",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1997","1997",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1998","1998",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","1999","1999",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","2000","2000",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","2001","2001",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","2002","2002",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","2003","2003",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","2004","2004",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE9","Share of agriculture in total emissions of nitrogen (%)","2005","2005",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1990","1990",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1991","1991",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1992","1992",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1993","1993",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1994","1994",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1995","1995",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1996","1996",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1997","1997",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1998","1998",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","WATE11","Share of agriculture in total emissions of nitrogen (%)","1999","1999",,"M","Missing value; data cannot exist"
